theta/2theta,Intensity
10.34000015,364.8331299
10.35000038,378.0880737
10.35999966,391.6666565
10.36999989,388.624054
10.38000011,390.0993652
10.39000034,459.0826111
10.39999962,452.0895386
10.40999985,400.4770508
10.42000008,379.6721191
10.43000031,382.117218
10.43999958,452.6525574
10.44999981,360.8526917
10.46000004,419.1427307
10.47000027,361.2616577
10.47999954,422.2521057
10.48999977,442.3824463
10.5,404.1666565
10.51000023,407.5724487
10.52000046,422.9735413
10.52999973,403.1226196
10.53999996,361.472229
10.55000019,413.1694641
10.56000042,463.096405
10.56999969,366.4622498
10.57999992,430.1260071
10.59000015,410.5925903
10.60000038,394.3287964
10.60999966,375.6138611
10.61999989,435.7674561
10.63000011,360.2980957
10.64000034,397.0482788
10.64999962,400.5557556
10.65999985,386.916687
10.67000008,425.6568909
10.68000031,376.8273315
10.68999958,367.7125854
10.69999981,404.5881653
10.71000004,429.926178
10.72000027,408.8955383
10.72999954,413.6130981
10.73999977,419.7315369
10.75,414.6809692
10.76000023,431.3250122
10.77000046,444.7654724
10.77999973,435.9151611
10.78999996,418.7284241
10.80000019,386.890564
10.81000042,468.7880249
10.81999969,440.5132446
10.82999992,346.6670227
10.84000015,387.7828064
10.85000038,417.4121399
10.85999966,400.3623657
10.86999989,463.3245239
10.88000011,432.7819519
10.89000034,405.1565857
10.89999962,472.2588806
10.90999985,419.3959351
10.92000008,439.8697205
10.93000031,430.7667542
10.93999958,472.5973206
10.94999981,419.6929016
10.96000004,450.9534912
10.97000027,493.3070679
10.97999954,466.263855
