alpha,I
-1.107,16.9
-1.112,16.1
-1.118,15.4
-1.123,14.6
-1.128,14
-1.134,13.5
-1.139,13.2
-1.144,12.9
-1.15,12.9
-1.155,12.9
-1.16,13.2
-1.166,13.6
-1.171,14.4
-1.176,15.2
-1.182,16
-1.187,16.8
-1.192,17.9
-1.198,19.1
-1.203,20.7
-1.208,23.3
-1.214,26.8
-1.219,31.6
-1.224,37.2
-1.23,43.2
-1.235,48.5
-1.24,52.1
-1.246,53.8
-1.251,53.8
-1.256,52.7
-1.262,51.1
-1.267,49.5
-1.273,48.2
-1.278,47.1
-1.283,45.8
-1.289,44.2
-1.294,42.5
-1.299,40.6
-1.305,38.8
-1.31,37.1
-1.315,35.6
-1.321,34.1
-1.326,32.8
-1.331,31.6
-1.337,30.6
-1.342,29.6
-1.347,28.7
-1.353,27.6
-1.358,26.6
-1.363,25.6
-1.369,24.7
-1.374,23.9
-1.379,23.1
-1.385,22.4
-1.39,21.7
-1.395,21.2
-1.401,20.6
-1.406,20
-1.411,19.5
-1.417,18.8
-1.422,18.2
-1.428,17.6
-1.433,17.2
-1.438,16.4
-1.444,16
-1.449,15.6
-1.454,15.6
-1.46,15.7
-1.465,15.7
-1.47,16
-1.476,16.2
-1.481,16.4
-1.486,16.7
-1.492,17.2
-1.497,18.4
-1.502,20.4
-1.508,23.6
-1.513,27.5
-1.518,31.1
-1.524,34.3
-1.529,36.5
-1.534,37.8
-1.54,38.3
-1.545,38.3
-1.55,37.9
-1.556,37.3
-1.561,36.5
-1.566,35.5
-1.572,34.4
-1.577,33.2
-1.582,31.7
-1.588,30.3
-1.593,29
-1.599,27.8
-1.604,26.6
-1.609,25.5
-1.615,24.5
-1.62,23.7
-1.625,22.8
-1.631,22.1
-1.636,21.3
-1.641,20.5
-1.647,19.8
-1.652,19.3
-1.657,18.7
-1.663,18.3
-1.668,17.9
-1.673,17.5
-1.679,17.1
-1.684,16.7
-1.689,16.3
-1.695,16
-1.7,16
-1.705,16
-1.711,16
-1.716,16
-1.721,16
-1.727,16
-1.732,16.2
-1.737,16.7
-1.743,17.9
-1.748,19.6
-1.753,21.7
-1.759,23.8
-1.764,25.6
-1.769,26.8
-1.775,28
-1.78,28.8
-1.786,29.4
-1.791,29.4
-1.796,29
-1.802,28.4
-1.807,27.7
-1.812,27.2
-1.818,26.7
-1.823,26
-1.828,25.1
-1.834,24.1
-1.839,23.1
-1.844,22.1
-1.85,21.1
-1.855,20.2
-1.86,19.5
-1.866,18.7
-1.871,18
-1.876,17.5
-1.882,17.1
-1.887,16.6
-1.892,16.2
-1.898,15.8
-1.903,15.5
-1.908,15.2
-1.914,15.2
-1.919,15.2
-1.924,15.2
-1.93,15.2
-1.935,15.2
-1.94,15.1
-1.946,15.1
-1.951,15.5
-1.956,16.4
-1.962,17.6
-1.967,18.8
-1.972,19.9
-1.978,20.8
-1.983,21.9
-1.989,22.7
-1.994,23.4
-1.999,23.7
-2.005,23.7
-2.01,23.4
-2.015,23.1
-2.021,22.7
-2.026,22.3
-2.031,21.8
-2.037,21.2
-2.042,20.7
-2.047,20.2
-2.053,19.5
-2.058,18.7
-2.063,17.9
-2.069,17
-2.074,16.4
-2.079,16
-2.085,15.6
-2.09,15.2
-2.095,14.8
-2.101,14.3
-2.106,13.8
-2.111,13.6
-2.117,13.6
-2.122,13.6
-2.127,13.6
-2.133,13.6
-2.138,13.6
-2.143,14
-2.149,14.4
-2.154,15
-2.159,15.5
-2.165,16.1
-2.17,16.8
-2.175,17.6
-2.181,18.4
-2.186,18.8
-2.191,18.9
-2.197,18.9
-2.202,18.9
-2.207,18.8
-2.213,18.5
-2.218,18.3
-2.223,17.9
-2.229,17.6
-2.234,17.2
-2.24,16.9
-2.245,16.5
-2.25,16.1
-2.256,15.7
-2.261,15.3
-2.266,14.5
-2.272,14
-2.277,13.6
-2.282,13.4
-2.288,13.2
-2.293,13.1
-2.298,12.8
-2.304,12.5
-2.309,12.2
-2.314,12
-2.32,12
-2.325,12.3
-2.33,12.4
-2.336,12.8
-2.341,13.2
-2.346,13.6
-2.352,14.2
-2.357,14.6
-2.362,15
-2.368,15.2
-2.373,15.2
-2.378,15.2
-2.384,15.2
-2.389,15.2
-2.394,15.1
-2.4,14.8
-2.405,14.6
-2.41,14.4
-2.416,14.2
-2.421,14
-2.426,13.6
-2.432,13.2
-2.437,13.1
-2.442,13
-2.448,12.8
-2.453,12.5
-2.458,12.1
-2.464,12
-2.469,11.6
-2.474,11.5
-2.48,11.3
-2.485,11.3
-2.49,11.2
-2.496,11.2
-2.501,11.5
-2.506,11.8
-2.512,12.2
-2.517,12.4
-2.522,12.5
-2.528,12.7
-2.533,12.7
-2.538,12.7
-2.544,12.7
-2.549,12.7
-2.554,12.7
-2.56,12.7
-2.565,12.6
-2.57,12.4
-2.576,12.3
-2.581,12.1
-2.586,11.9
-2.592,11.7
