alpha,I
-1.278,41.4
-1.283,41.5
-1.289,41.1
-1.294,40.2
-1.299,39.1
-1.305,37.8
-1.31,36.4
-1.315,35
-1.321,33.6
-1.326,32.3
-1.331,31.1
-1.337,29.9
-1.342,29.1
-1.347,28.2
-1.353,27.2
-1.358,26.4
-1.363,25.6
-1.369,24.7
-1.374,23.9
-1.379,23.1
-1.385,22.3
-1.39,21.4
-1.395,20.6
-1.401,19.8
-1.406,19
-1.411,18.3
-1.417,17.6
-1.422,16.9
-1.428,16.3
-1.433,15.8
-1.438,15.1
-1.444,14.4
-1.449,14
-1.454,13.8
-1.46,13.8
-1.465,14
-1.47,14.4
-1.476,15.2
-1.481,16.5
-1.486,18.2
-1.492,20
-1.497,21.6
-1.502,22.8
-1.508,23.6
-1.513,24.2
-1.518,24.8
-1.524,25.3
-1.529,26.1
-1.534,27.2
-1.54,28.4
-1.545,29.4
-1.55,30
-1.556,30.4
-1.561,30.4
-1.566,30
-1.572,29.3
-1.577,28.8
-1.582,28.1
-1.588,27.3
-1.593,26.8
-1.599,26.1
-1.604,25.3
-1.609,24.6
-1.615,23.9
-1.62,23.2
-1.625,22.4
-1.631,22
-1.636,21.2
-1.641,20.6
-1.647,19.9
-1.652,19.4
-1.657,18.7
-1.663,18.2
-1.668,17.6
-1.673,17.2
-1.679,16.6
-1.684,16.1
-1.689,15.7
-1.695,15.4
-1.7,15.1
-1.705,14.8
-1.711,14.8
-1.716,14.8
-1.721,15.2
-1.727,16
-1.732,16.8
-1.737,17.7
-1.743,18.4
-1.748,19.1
-1.753,19.6
-1.759,20.1
-1.764,20.7
-1.769,21.2
-1.775,21.6
-1.78,22
-1.786,22.4
-1.791,22.7
-1.796,22.8
-1.802,22.6
-1.807,22.4
-1.812,22.1
-1.818,21.8
-1.823,21.5
-1.828,21.1
-1.834,20.7
-1.839,20.3
-1.844,19.9
-1.85,19.6
-1.855,19.2
-1.86,18.6
-1.866,18.1
-1.871,17.6
-1.876,17.2
-1.882,16.6
-1.887,16.2
-1.892,15.8
-1.898,15.4
-1.903,15
-1.908,14.8
-1.914,14.4
-1.919,14.3
-1.924,14.1
-1.93,14.2
-1.935,14.6
-1.94,15.1
-1.946,15.5
-1.951,15.7
-1.956,16.1
-1.962,16.4
-1.967,16.8
-1.972,17.2
-1.978,17.6
-1.983,18
-1.989,18
-1.994,18
-1.999,18
-2.005,18
-2.01,18
-2.015,18
-2.021,18
-2.026,17.8
-2.031,17.5
-2.037,17.2
-2.042,16.8
-2.047,16.5
-2.053,16.2
-2.058,15.9
-2.063,15.6
-2.069,15.4
-2.074,15.2
-2.079,14.8
-2.085,14.4
-2.09,14
-2.095,13.6
-2.101,13.2
-2.106,12.8
-2.111,12.6
-2.117,12.5
-2.122,12.7
-2.127,13
-2.133,13.4
-2.138,13.6
-2.143,14
-2.149,14
-2.154,14.3
-2.159,14.7
-2.165,15
-2.17,15.1
-2.175,15.1
-2.181,15.1
-2.186,15.1
-2.191,15
-2.197,14.9
-2.202,14.9
-2.207,14.9
-2.213,14.8
-2.218,14.8
-2.223,14.8
-2.229,14.6
-2.234,14.4
-2.24,14.1
-2.245,13.9
-2.25,13.6
-2.256,13.2
-2.261,12.9
-2.266,12.5
-2.272,12.1
-2.277,11.9
-2.282,11.9
-2.288,11.8
-2.293,11.7
-2.298,11.7
-2.304,11.7
-2.309,11.9
-2.314,12
-2.32,12.1
-2.325,12.2
-2.33,12.4
-2.336,12.4
-2.341,12.4
-2.346,12.4
-2.352,12.4
-2.357,12.3
-2.362,12.3
-2.368,12.3
-2.373,12.3
-2.378,12.3
-2.384,12.3
-2.389,12.2
-2.394,12.2
-2.4,12.2
-2.405,12.1
-2.41,12
-2.416,12
-2.421,11.6
-2.426,11.3
-2.432,11.2
-2.437,11
-2.442,10.9
-2.448,10.8
-2.453,10.7
-2.458,10.7
-2.464,10.8
-2.469,10.8
-2.474,10.8
-2.48,10.8
-2.485,10.8
-2.49,10.9
-2.496,11
-2.501,11
-2.506,11
-2.512,10.8
-2.517,10.6
-2.522,10.4
-2.528,10.4
-2.533,10.1
-2.538,10
-2.544,10
-2.549,10
-2.554,10
-2.56,10
-2.565,10
-2.57,10
-2.576,10
-2.581,10
-2.586,9.7
-2.592,9.6
-2.597,9.6
-2.602,9.6
-2.608,9.6
-2.613,9.6
-2.619,9.6
-2.624,9.6
-2.629,9.6
-2.635,9.6
-2.64,9.6
