alpha,I
-0.294,84.4
-0.299,85.2
-0.305,86
-0.31,86.4
-0.316,86.8
-0.321,86.4
-0.326,86
-0.332,85.2
-0.337,84.4
-0.342,83.2
-0.348,81.6
-0.353,79.6
-0.358,77.2
-0.364,74.8
-0.369,72
-0.374,69.6
-0.38,67.2
-0.385,64.4
-0.39,61.6
-0.396,58.8
-0.401,56.4
-0.406,53.6
-0.412,51.2
-0.417,48.8
-0.422,46.8
-0.428,44.4
-0.433,42.4
-0.438,40.4
-0.444,38.8
-0.449,37.2
-0.455,35.6
-0.46,34
-0.465,32.4
-0.471,31.2
-0.476,30
-0.481,28.8
-0.487,27.6
-0.492,26.4
-0.497,25.6
-0.503,24.8
-0.508,24
-0.513,22.8
-0.519,22
-0.524,21.2
-0.529,20.4
-0.535,19.6
-0.54,18.8
-0.545,18.4
-0.551,17.6
-0.556,17.2
-0.561,16.4
-0.567,16
-0.572,15.6
-0.578,15.2
-0.583,14.8
-0.588,14.4
-0.594,14
-0.599,13.6
-0.604,13.2
-0.61,13.2
-0.615,13.2
-0.62,12.8
-0.626,12.8
-0.631,12.8
-0.636,12.8
-0.642,12.4
-0.647,12.4
-0.652,12
-0.658,12
-0.663,12
-0.668,12
-0.674,12
-0.679,12.4
-0.684,12.4
-0.69,12.8
-0.695,13.2
-0.701,13.6
-0.706,14
-0.711,14.8
-0.717,15.2
-0.722,16
-0.727,17.2
-0.733,18.4
-0.738,20
-0.743,21.6
-0.749,23.6
-0.754,26
-0.759,28.8
-0.765,32.4
-0.77,36.4
-0.775,40.8
-0.781,45.2
-0.786,49.2
-0.791,52.4
-0.797,54.8
-0.802,56
-0.807,56
-0.813,55.2
-0.818,54
-0.823,52
-0.829,50.4
-0.834,48.4
-0.84,46.8
-0.845,45.2
-0.85,44
-0.856,42.8
-0.861,41.6
-0.866,40.8
-0.872,40
-0.877,39.6
-0.882,39.2
-0.888,39.6
-0.893,40
-0.898,40.8
-0.904,42.8
-0.909,44.8
-0.914,48
-0.92,51.2
-0.925,54.8
-0.93,57.6
-0.936,59.2
-0.941,60
-0.946,59.6
-0.952,58
-0.957,56
-0.962,53.6
-0.968,50.8
-0.973,48.4
-0.979,46
-0.984,43.6
-0.989,41.6
-0.995,40
-1,38.4
-1.005,36.4
-1.011,35.2
-1.016,33.6
-1.021,32
-1.027,30.8
-1.032,29.6
-1.037,28.4
-1.043,27.2
-1.048,25.6
-1.053,24.4
-1.059,22.8
-1.064,21.6
-1.069,20.8
-1.075,20.4
-1.08,19.6
-1.085,19.2
-1.091,18.8
-1.096,18.4
-1.101,18
-1.107,17.6
-1.112,17.2
-1.118,16.8
-1.123,16.8
-1.128,16.8
-1.134,16.8
-1.139,17.2
-1.144,17.6
-1.15,18.4
-1.155,19.6
-1.16,21.2
-1.166,23.6
-1.171,26.4
-1.176,29.6
-1.182,32.8
-1.187,35.2
-1.192,36.8
-1.198,37.2
-1.203,37.2
-1.208,36.4
-1.214,35.6
-1.219,34.8
-1.224,33.6
-1.23,32.8
-1.235,32
-1.24,31.2
-1.246,30.8
-1.251,30.4
-1.256,30.4
-1.262,31.2
-1.267,32.8
-1.273,34.8
-1.278,37.6
-1.283,40
-1.289,42
-1.294,42.8
-1.299,42.8
-1.305,42
-1.31,40.8
-1.315,39.2
-1.321,38
-1.326,36.4
-1.331,34.8
-1.337,33.2
-1.342,32
-1.347,30.8
-1.353,29.6
-1.358,28.4
-1.363,27.6
-1.369,26.8
-1.374,25.6
-1.379,24.8
-1.385,24
-1.39,23.2
-1.395,22.4
-1.401,21.6
-1.406,20.8
-1.411,20
-1.417,19.2
-1.422,18.4
-1.428,18
-1.433,17.6
-1.438,17.2
-1.444,16.8
-1.449,17.2
-1.454,18
-1.46,19.2
-1.465,20.8
-1.47,22.8
-1.476,24.8
-1.481,26.4
-1.486,27.6
-1.492,28
-1.497,28
-1.502,28
-1.508,27.6
-1.513,27.2
-1.518,26.8
-1.524,26.4
-1.529,26
-1.534,26
-1.54,26.4
-1.545,27.2
-1.55,28.4
-1.556,29.6
-1.561,30.4
-1.566,31.2
-1.572,31.6
-1.577,31.6
-1.582,31.2
-1.588,30.4
-1.593,29.6
-1.599,28.8
-1.604,28
-1.609,27.2
-1.615,26.4
-1.62,25.6
-1.625,24.8
-1.631,24
-1.636,22.8
